 written on  1Nov2023 at 16:06:55 
   3.5717025864237320        6.4991244369867793        6.4991244369867793     
   6.4991244369867793        3.5717025864237320        6.4991244369867793     
   6.4991244369867793        6.4991244369867793        3.5717025864237320     
          10
          37
    2    2    3    1    3    1    1    2    1    1    1    3    2    2    1
    1    2    1    1    1    2    1    1    2    2    3    1    1    1    2
    1    1    3    1    3    2    2

   -2    0    1
    1    1    0.15160873E+00  0.11663179E-01
    2    1    0.19744263E-10 -0.11663179E-01
    3    1    0.17544980E+00 -0.11661022E-01
    4    1    0.32173899E-08  0.11661017E-01
    5    1    0.42364369E-01  0.24829831E-02
    6    1   -0.47884352E-09 -0.24829807E-02
    7    1    0.81700179E-01 -0.30101024E-01
    8    1   -0.87645494E-09  0.30101026E-01
    9    1    0.99790024E-01 -0.15539009E-01
   10    1   -0.21102875E-08  0.15539006E-01
    1    2   -0.88925910E-10 -0.11663178E-01
    2    2    0.15160873E+00 -0.11663176E-01
    3    2   -0.33454252E-08  0.11661018E-01
    4    2    0.17544980E+00  0.11661022E-01
    5    2    0.30972361E-09 -0.24829813E-02
    6    2    0.42364369E-01 -0.24829838E-02
    7    2   -0.53886905E-09  0.30101026E-01
    8    2    0.81700175E-01  0.30101024E-01
    9    2   -0.25964498E-09  0.15539005E-01
   10    2    0.99790024E-01  0.15539010E-01
    1    3    0.65511586E-01 -0.31754374E-01
    2    3   -0.23790109E-09  0.31754371E-01
    3    3   -0.67274619E-02  0.21265839E-01
    4    3    0.10426386E-08 -0.21265835E-01
    5    3    0.13763248E+00 -0.24157899E-01
    6    3   -0.84297863E-09  0.24157900E-01
    7    3   -0.51407480E-01  0.40985052E-01
    8    3    0.16474714E-08 -0.40985049E-01
    9    3   -0.30737972E-01 -0.90624613E-02
   10    3    0.16433257E-08  0.90624613E-02
    1    4    0.14286943E-08  0.31754372E-01
    2    4    0.65511586E-01  0.31754375E-01
    3    4   -0.50491825E-09 -0.21265837E-01
    4    4   -0.67274611E-02 -0.21265841E-01
    5    4    0.16170072E-08  0.24157901E-01
    6    4    0.13763248E+00  0.24157901E-01
    7    4   -0.26260248E-09 -0.40985050E-01
    8    4   -0.51407481E-01 -0.40985054E-01
    9    4    0.28778349E-09  0.90624594E-02
   10    4   -0.30737970E-01  0.90624587E-02
    1    5   -0.44238822E-01  0.24426454E-01
    2    5    0.66124785E-09 -0.24426455E-01
    3    5    0.16800169E+00  0.50373022E-01
    4    5    0.25695835E-09 -0.50373026E-01
    5    5   -0.10274768E-01  0.10518525E-01
    6    5   -0.47484828E-09 -0.10518525E-01
    7    5    0.11869613E+00 -0.73457849E-02
    8    5    0.18891521E-09  0.73457846E-02
    9    5    0.87743927E-01 -0.23984393E-02
   10    5    0.21436726E-08  0.23984375E-02
    1    6   -0.14320479E-09 -0.24426456E-01
    2    6   -0.44238822E-01 -0.24426454E-01
    3    6    0.50015483E-09 -0.50373026E-01
    4    6    0.16800169E+00 -0.50373023E-01
    5    6    0.41526390E-09 -0.10518525E-01
    6    6   -0.10274767E-01 -0.10518525E-01
    7    6   -0.42617197E-09  0.73457854E-02
    8    6    0.11869613E+00  0.73457845E-02
    9    6   -0.39356112E-08  0.23984376E-02
   10    6    0.87743928E-01  0.23984388E-02
    1    7   -0.62996642E-01  0.55863633E-01
    2    7    0.72471401E-09 -0.55863632E-01
    3    7    0.73079121E-01 -0.25666524E-01
    4    7    0.12875763E-08  0.25666521E-01
    5    7    0.32525753E-01 -0.11848571E-01
    6    7   -0.15969399E-08  0.11848572E-01
    7    7    0.31269173E-01  0.27248746E-01
    8    7    0.20797309E-08 -0.27248748E-01
    9    7   -0.54720544E-02 -0.80815298E-01
   10    7    0.10958519E-08  0.80815294E-01
    1    8   -0.11187634E-08 -0.55863632E-01
    2    8   -0.62996640E-01 -0.55863633E-01
    3    8   -0.53834852E-09  0.25666521E-01
    4    8    0.73079117E-01  0.25666524E-01
    5    8    0.15704623E-08  0.11848573E-01
    6    8    0.32525753E-01  0.11848571E-01
    7    8   -0.13189556E-08 -0.27248747E-01
    8    8    0.31269172E-01 -0.27248745E-01
    9    8   -0.23229682E-08  0.80815295E-01
   10    8   -0.54720520E-02  0.80815294E-01
    1    9    0.83794451E-01  0.13862006E-01
    2    9   -0.73035660E-09 -0.13861998E-01
    3    9   -0.73518857E-01 -0.85529919E-02
    4    9    0.18246959E-08  0.85529989E-02
    5    9    0.56638137E-01  0.24022486E-01
    6    9   -0.21958418E-08 -0.24022490E-01
    7    9   -0.37204730E-01  0.50993326E-01
    8    9   -0.10451134E-08 -0.50993324E-01
    9    9   -0.11742560E+00 -0.12633742E-01
   10    9   -0.19221971E-08  0.12633743E-01
    1   10   -0.47470982E-10 -0.13861996E-01
    2   10    0.83794454E-01 -0.13862006E-01
    3   10   -0.29194094E-08  0.85529954E-02
    4   10   -0.73518857E-01  0.85529899E-02
    5   10    0.27817165E-08 -0.24022489E-01
    6   10    0.56638137E-01 -0.24022485E-01
    7   10    0.16157640E-08 -0.50993322E-01
    8   10   -0.37204732E-01 -0.50993327E-01
    9   10   -0.74243887E-09  0.12633744E-01
   10   10   -0.11742560E+00  0.12633741E-01

   -2    1    0
    1    1   -0.56705739E-01  0.63158860E-01
    2    1   -0.16312438E-01 -0.11449185E-01
    3    1   -0.12173325E+00 -0.24436620E-01
    4    1    0.66783421E-01  0.39640135E-01
    5    1    0.55477264E-01  0.76492968E-01
    6    1    0.23639322E-01  0.14092797E-01
    7    1    0.64155176E-01  0.13374488E-01
    8    1    0.34747499E-01 -0.91814480E-01
    9    1    0.57827837E-01  0.85265715E-02
   10    1    0.15473114E-01 -0.50756206E-01
    1    2    0.16312435E-01 -0.11449183E-01
    2    2   -0.56705737E-01 -0.63158865E-01
    3    2   -0.66783418E-01  0.39640136E-01
    4    2   -0.12173325E+00  0.24436619E-01
    5    2   -0.23639322E-01  0.14092795E-01
    6    2    0.55477265E-01 -0.76492966E-01
    7    2   -0.34747499E-01 -0.91814479E-01
    8    2    0.64155177E-01 -0.13374485E-01
    9    2   -0.15473118E-01 -0.50756205E-01
   10    2    0.57827837E-01 -0.85265683E-02
    1    3    0.10528649E+00  0.78355660E-01
    2    3   -0.39687768E-01  0.48212882E-01
    3    3    0.11278538E-01 -0.20130807E-01
    4    3   -0.76382468E-01 -0.24632558E-01
    5    3   -0.24063766E-01 -0.10855309E-01
    6    3    0.64788724E-02 -0.58710081E-01
    7    3    0.63574853E-02 -0.13339061E-01
    8    3   -0.12744684E-01 -0.25245140E-01
    9    3    0.37978230E-01  0.33871317E-02
   10    3   -0.16207379E-01  0.16930934E-01
    1    4    0.39687765E-01  0.48212881E-01
    2    4    0.10528650E+00 -0.78355661E-01
    3    4    0.76382467E-01 -0.24632559E-01
    4    4    0.11278538E-01  0.20130807E-01
    5    4   -0.64788720E-02 -0.58710080E-01
    6    4   -0.24063765E-01  0.10855309E-01
    7    4    0.12744682E-01 -0.25245141E-01
    8    4    0.63574877E-02  0.13339061E-01
    9    4    0.16207379E-01  0.16930934E-01
   10    4    0.37978231E-01 -0.33871270E-02
    1    5   -0.49945350E-01 -0.51947045E-01
    2    5   -0.24978943E-01  0.11383803E-01
    3    5   -0.39840358E-01 -0.44955463E-01
    4    5    0.11643768E-01  0.88712392E-02
    5    5   -0.61320368E-05  0.16759390E-01
    6    5   -0.17290319E-04 -0.11540230E-01
    7    5    0.46930949E-01 -0.12097010E-01
    8    5    0.25388172E-02  0.12214498E-01
    9    5    0.20239902E-01 -0.88409787E-01
   10    5   -0.50818352E-02  0.11659859E-01
    1    6    0.24978944E-01  0.11383803E-01
    2    6   -0.49945351E-01  0.51947046E-01
    3    6   -0.11643768E-01  0.88712391E-02
    4    6   -0.39840357E-01  0.44955461E-01
    5    6    0.17290037E-04 -0.11540231E-01
    6    6   -0.61322323E-05 -0.16759389E-01
    7    6   -0.25388167E-02  0.12214497E-01
    8    6    0.46930948E-01  0.12097009E-01
    9    6    0.50818364E-02  0.11659862E-01
   10    6    0.20239903E-01  0.88409786E-01
    1    7    0.74988874E-01  0.97524617E-02
    2    7   -0.32826023E-02 -0.48895985E-02
    3    7   -0.41362135E-01 -0.55287654E-02
    4    7   -0.28786897E-01  0.24014464E-01
    5    7    0.18786491E+00  0.45195876E-01
    6    7    0.12794303E-02  0.89848392E-02
    7    7    0.27858641E-01 -0.21776344E-01
    8    7   -0.38202407E-02  0.47823721E-01
    9    7   -0.16315273E-01  0.78315968E-03
   10    7   -0.36142034E-01  0.18737682E-01
    1    8    0.32825990E-02 -0.48895980E-02
    2    8    0.74988870E-01 -0.97524601E-02
    3    8    0.28786897E-01  0.24014462E-01
    4    8   -0.41362132E-01  0.55287655E-02
    5    8   -0.12794305E-02  0.89848388E-02
    6    8    0.18786491E+00 -0.45195875E-01
    7    8    0.38202392E-02  0.47823721E-01
    8    8    0.27858642E-01  0.21776345E-01
    9    8    0.36142035E-01  0.18737683E-01
   10    8   -0.16315276E-01 -0.78315661E-03
    1    9    0.25001995E-01 -0.23075381E-01
    2    9    0.23793410E-01 -0.22196239E-01
    3    9    0.33068277E-01  0.14615468E-01
    4    9   -0.52523657E-01  0.94030044E-02
    5    9    0.57536346E-01  0.43533835E-01
    6    9   -0.32332454E-01 -0.13524259E-02
    7    9    0.66265831E-01  0.64166888E-01
    8    9    0.29996428E-01 -0.52629292E-01
    9    9    0.66024767E-01 -0.35158858E-01
   10    9    0.81993650E-01  0.20593745E-01
    1   10   -0.23793412E-01 -0.22196240E-01
    2   10    0.25001993E-01  0.23075382E-01
    3   10    0.52523659E-01  0.94030071E-02
    4   10    0.33068279E-01 -0.14615465E-01
    5   10    0.32332455E-01 -0.13524267E-02
    6   10    0.57536345E-01 -0.43533833E-01
    7   10   -0.29996428E-01 -0.52629293E-01
    8   10    0.66265833E-01 -0.64166885E-01
    9   10   -0.81993652E-01  0.20593746E-01
   10   10    0.66024770E-01  0.35158862E-01

   -2    1    1
    1    1   -0.11618491E-01  0.41726131E-01
    2    1   -0.14507787E-08 -0.41726133E-01
    3    1    0.15033538E+00  0.77644305E-02
    4    1    0.35529462E-08 -0.77644241E-02
    5    1    0.57756061E-02  0.54535510E-01
    6    1   -0.77373744E-09 -0.54535510E-01
    7    1    0.20786633E+00  0.14344429E-01
    8    1    0.98661874E-09 -0.14344432E-01
    9    1    0.18800983E+00 -0.17921691E-01
   10    1   -0.39146454E-09  0.17921689E-01
    1    2   -0.17479965E-09 -0.41726133E-01
    2    2   -0.11618492E-01 -0.41726131E-01
    3    2   -0.31713559E-08 -0.77644245E-02
    4    2    0.15033538E+00 -0.77644331E-02
    5    2    0.11363466E-08 -0.54535510E-01
    6    2    0.57756079E-02 -0.54535509E-01
    7    2    0.72180203E-09 -0.14344431E-01
    8    2    0.20786633E+00 -0.14344431E-01
    9    2   -0.42321985E-08  0.17921687E-01
   10    2    0.18800983E+00  0.17921688E-01
    1    3    0.81370735E-01  0.12827910E-01
    2    3    0.96391361E-09 -0.12827906E-01
    3    3   -0.71383736E-01  0.11777575E-01
    4    3    0.57130093E-09 -0.11777577E-01
    5    3   -0.61941080E-01 -0.26478778E-02
    6    3    0.70058946E-09  0.26478748E-02
    7    3    0.78038217E-01  0.88130312E-02
    8    3   -0.79366618E-09 -0.88130330E-02
    9    3   -0.49795922E-01 -0.67065694E-02
   10    3    0.11234311E-09  0.67065694E-02
    1    4    0.55249132E-09 -0.12827906E-01
    2    4    0.81370734E-01 -0.12827907E-01
    3    4    0.20687496E-08 -0.11777574E-01
    4    4   -0.71383734E-01 -0.11777575E-01
    5    4   -0.13974311E-09  0.26478735E-02
    6    4   -0.61941080E-01  0.26478789E-02
    7    4    0.18428478E-08 -0.88130343E-02
    8    4    0.78038216E-01 -0.88130308E-02
    9    4    0.99545004E-09  0.67065714E-02
   10    4   -0.49795921E-01  0.67065708E-02
    1    5    0.11234714E+00  0.11199942E-02
    2    5    0.90171754E-09 -0.11199970E-02
    3    5   -0.89693119E-03  0.10075281E-02
    4    5    0.37326609E-09 -0.10075215E-02
    5    5   -0.21464652E-01  0.43752156E-02
    6    5   -0.94326972E-11 -0.43752168E-02
    7    5    0.52608739E-01  0.36740869E-01
    8    5    0.12224016E-08 -0.36740869E-01
    9    5   -0.78470213E-01  0.34339479E-01
   10    5   -0.10985008E-08 -0.34339481E-01
    1    6   -0.54270071E-09 -0.11199978E-02
    2    6    0.11234714E+00 -0.11199955E-02
    3    6    0.19330354E-09 -0.10075227E-02
    4    6   -0.89693067E-03 -0.10075293E-02
    5    6    0.45465287E-10 -0.43752176E-02
    6    6   -0.21464652E-01 -0.43752156E-02
    7    6   -0.25012012E-08 -0.36740869E-01
    8    6    0.52608739E-01 -0.36740869E-01
    9    6   -0.17657513E-08 -0.34339481E-01
   10    6   -0.78470213E-01 -0.34339479E-01
    1    7    0.14858697E+00  0.15771029E-01
    2    7    0.24606727E-08 -0.15771034E-01
    3    7   -0.25369141E-01  0.28181480E-01
    4    7   -0.25550439E-08 -0.28181478E-01
    5    7    0.15137271E+00  0.14445055E-01
