 #  energy  xx  yy  zz  sp  sm
         0.3927         0.2369         0.0870         0.5280         0.2756         0.0484
         0.6875         9.1329         2.0263         4.0419         7.5430         3.6161
         0.6875        13.1140         4.3055        12.1792         7.6359         9.7835
         1.2038         5.2043         6.9895         4.6390        10.2133         1.9804
         1.2038         5.0892         6.8239         4.3807         2.0005         9.9126
         1.2038         0.1089         0.9150         1.2348         0.3970         0.6268
         1.2038         2.1899         1.6957         0.6932         2.2640         1.6215
         1.2038         0.5479         1.5792         1.9917         1.5573         0.5698
         1.2038         1.7465         1.4256         0.3423         1.3023         1.8699
         1.2384         1.6801         8.5254         1.5680         6.6383         3.5672
         1.2384         1.5594         8.4990         1.6606         3.5794         6.4790
         1.2384         9.3373        18.9781        13.3587        11.6685        16.6468
         1.2384        14.5745        19.8988         9.4744        12.0970        22.3763
         1.2384         8.8026        17.8401        12.2365        15.3670        11.2756
         1.2384        12.8455        18.0537         8.9394        19.9689        10.9303
         1.9455         0.2671         0.3875         0.2016         0.0428         0.6118
         1.9455         0.2214         0.4507         0.3646         0.5854         0.0866
         1.9455         0.0025         0.4888         1.0206         0.2776         0.2137
         1.9455         0.0011         0.5446         1.0211         0.2535         0.2922
         1.9455         1.0930         0.4597         0.0017         0.0759         1.4768
         1.9455         0.9892         0.3840         0.0172         1.2662         0.1071
         2.5934         0.1572         0.1374         0.7987         0.1560         0.1386
         2.5934         0.0955         0.1063         0.6847         0.0888         0.1129
         2.5934         0.7955         0.1356         0.1436         0.4781         0.4530
         2.5934         0.8271         0.1593         0.1746         0.5050         0.4814
         2.5934         0.1669         0.0143         0.1859         0.0419         0.1393
         2.5934         0.1677         0.0141         0.1847         0.1393         0.0425
