 #  energy  xx  yy  zz  xy  xz  yz
         2.3910         3.6253         3.4560         0.0000         0.1587         0.0000         0.0000
         2.3910         3.6252         3.4559         0.0000         0.1587         0.0000         0.0000
         2.3911         3.3590         3.7219         0.0000         0.0050         0.0000         0.0000
         2.3912         3.3586         3.7217         0.0000         0.0049         0.0000         0.0000
         2.3914         3.6440         3.4547         0.0000        -0.1678         0.0000         0.0000
         2.3914         3.6440         3.4546         0.0000        -0.1679         0.0000         0.0000
         2.7278         0.0001         0.0001         0.0000         0.0000         0.0000         0.0000
         2.7278         0.0001         0.0001         0.0000         0.0000         0.0000         0.0000
         2.7280         0.0000         0.0001         0.0000         0.0000         0.0000         0.0000
         2.7280         0.0000         0.0001         0.0000         0.0000         0.0000         0.0000
         2.7285         0.0001         0.0001         0.0000        -0.0000         0.0000         0.0000
         2.7285         0.0001         0.0001         0.0000        -0.0000         0.0000         0.0000
         3.1212         0.0000         0.0001         0.0000        -0.0000         0.0000         0.0000
         3.1212         0.0000         0.0001         0.0000        -0.0000         0.0000         0.0000
         3.1213         0.0001         0.0000         0.0000         0.0000         0.0000         0.0000
         3.1213         0.0001         0.0000         0.0000         0.0000         0.0000         0.0000
         3.1214         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.1214         0.0001         0.0001         0.0000        -0.0000         0.0000         0.0000
         3.1215         0.0000         0.0001         0.0000         0.0000         0.0000         0.0000
         3.1215         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.1215         0.0000         0.0001         0.0000         0.0000         0.0000         0.0000
         3.1215         0.0000         0.0001         0.0000         0.0000         0.0000         0.0000
         3.1216         0.0001         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.1216         0.0001         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.3061         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.3061         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3063         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3064         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3064         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3064         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.4609         1.2157         0.5264         0.0000        -0.0636         0.0000         0.0000
         3.4609         1.2159         0.5264         0.0000        -0.0636         0.0000         0.0000
         3.4609         0.6983         0.9897         0.0000         0.4959         0.0000         0.0000
         3.4609         0.6983         0.9898         0.0000         0.4959         0.0000         0.0000
         3.4609         0.7507         0.9907         0.0000        -0.3297         0.0000         0.0000
         3.4609         0.7506         0.9907         0.0000        -0.3296         0.0000         0.0000
         3.4610         0.4874         1.2028         0.0000         0.3703         0.0000         0.0000
         3.4610         0.4874         1.2029         0.0000         0.3703         0.0000         0.0000
         3.4611         0.8258         1.2039         0.0000        -0.4584         0.0000         0.0000
         3.4611         1.5028         0.5270         0.0000        -0.0658         0.0000         0.0000
         3.4611         0.8259         1.2040         0.0000        -0.4584         0.0000         0.0000
         3.4611         1.5028         0.5271         0.0000        -0.0658         0.0000         0.0000
         3.4707         0.4613         1.3376         0.0000         0.1638         0.0000         0.0000
         3.4707         0.4613         1.3376         0.0000         0.1638         0.0000         0.0000
         3.4707         0.9755         0.8258         0.0000         0.4599         0.0000         0.0000
         3.4707         0.9755         0.8258         0.0000         0.4599         0.0000         0.0000
         3.4708         1.5914         0.8249         0.0000        -0.6641         0.0000         0.0000
         3.4709         1.5913         0.8249         0.0000        -0.6641         0.0000         0.0000
         3.4849         0.0182         1.4526         0.0000         0.0904         0.0000         0.0000
         3.4849         1.2630         0.3911         0.0000         0.6903         0.0000         0.0000
         3.4849         0.0084         1.4171         0.0000        -0.0128         0.0000         0.0000
         3.4849         1.1391         0.3693         0.0000         0.6402         0.0000         0.0000
         3.4850         0.3893         0.0875         0.0000        -0.1832         0.0000         0.0000
         3.4850         0.2180         0.0965         0.0000        -0.1403         0.0000         0.0000
         3.5259         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5259         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5260         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.5260         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.5260         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5261         0.0001         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5261         0.6573         1.0017         0.0000         0.2419         0.0000         0.0000
         3.5261         0.6573         1.0017         0.0000         0.2419         0.0000         0.0000
         3.5262         0.7033         0.9546         0.0000         0.2684         0.0000         0.0000
         3.5262         0.7033         0.9545         0.0000         0.2684         0.0000         0.0000
         3.5262         0.4222         0.9563         0.0000         0.0462         0.0000         0.0000
         3.5262         0.4223         0.9563         0.0000         0.0462         0.0000         0.0000
         3.5263         1.5322         0.5941         0.0000        -0.3467         0.0000         0.0000
         3.5263         1.5321         0.5941         0.0000        -0.3467         0.0000         0.0000
         3.5263         1.1286         1.0014         0.0000        -0.5798         0.0000         0.0000
         3.5263         1.1287         1.0013         0.0000        -0.5799         0.0000         0.0000
         3.5265         0.7828         0.5936         0.0000         0.2536         0.0000         0.0000
         3.5265         0.7828         0.5936         0.0000         0.2536         0.0000         0.0000
         3.5330         0.3771         1.0767         0.0000         0.0691         0.0000         0.0000
         3.5331         0.3771         1.0766         0.0000         0.0691         0.0000         0.0000
         3.5332         1.0859         0.6101         0.0000        -0.4150         0.0000         0.0000
         3.5332         0.8388         0.6098         0.0000         0.3367         0.0000         0.0000
         3.5332         0.8388         0.6098         0.0000         0.3366         0.0000         0.0000
         3.5332         1.0859         0.6101         0.0000        -0.4149         0.0000         0.0000
         3.5705         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5705         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5706         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.5707         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.5708         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.5709         0.0000         0.0000         0.0000        -0.0000         0.0000         0.0000
         3.5776         1.1863         0.9038         0.0000        -0.5814         0.0000         0.0000
         3.5776         1.1864         0.9039         0.0000        -0.5814         0.0000         0.0000
         3.5777         1.4721         0.6123         0.0000        -0.4162         0.0000         0.0000
         3.5777         1.4720         0.6123         0.0000        -0.4162         0.0000         0.0000
         3.5777         0.8088         0.6127         0.0000         0.4724         0.0000         0.0000
         3.5777         0.8088         0.6127         0.0000         0.4724         0.0000         0.0000
         3.5778         0.7833         1.1673         0.0000         0.0261         0.0000         0.0000
         3.5778         0.7833         1.1672         0.0000         0.0261         0.0000         0.0000
         3.5778         1.0415         0.9043         0.0000         0.1790         0.0000         0.0000
         3.5778         1.0415         0.9043         0.0000         0.1789         0.0000         0.0000
         3.5782         0.2555         1.1675         0.0000         0.1534         0.0000         0.0000
         3.5782         0.2555         1.1675         0.0000         0.1534         0.0000         0.0000
         3.6620         0.0197         0.9404         0.0000        -0.1165         0.0000         0.0000
         3.6620         0.0148         0.7628         0.0000        -0.0977         0.0000         0.0000
         3.6620         0.3159         0.1003         0.0000         0.1639         0.0000         0.0000
         3.6620         0.6927         0.2153         0.0000         0.3716         0.0000         0.0000
         3.6621         0.1016         0.1253         0.0000        -0.1125         0.0000         0.0000
         3.6621         0.3237         0.1849         0.0000        -0.2427         0.0000         0.0000
         3.6660         1.2955         0.6162         0.0000        -0.6328         0.0000         0.0000
