 written on 22Mar2022 at 20:10:06 
   2.82400000000000        2.82400000000000       0.000000000000000E+000
  0.000000000000000E+000   2.82400000000000        2.82400000000000     
   2.82400000000000       0.000000000000000E+000   2.82400000000000     
          16
          43
    3    3    3    3    1    3    3    1    1    3    1    1    1    3    3
    3    3    1    1    3    1    1    1    3    1    1    3    3    3    3
    1    1    1    3    1    1    3    3    1    3    3    3    3

   -2    0    1
    1    1    0.11968680E-01  0.28236923E-03
    2    1    0.78984617E-01  0.16046602E-02
    3    1    0.99456693E-02 -0.13554927E-02
    4    1    0.70640632E-02 -0.31719001E-03
    5    1   -0.35411973E-01 -0.40409713E-03
    6    1   -0.26411023E+00 -0.86532901E-03
    7    1    0.22083448E-01  0.98165310E-03
    8    1    0.19162619E-01 -0.36054903E-03
    9    1    0.17567988E-02 -0.80288992E-03
   10    1   -0.81982208E-04  0.16028767E-02
   11    1    0.70502728E-03  0.12925208E-02
   12    1   -0.30676931E-03 -0.82366057E-03
   13    1    0.57490796E-03  0.88058781E-03
   14    1   -0.11847970E-02  0.15567797E-02
   15    1    0.44692641E-02 -0.37043445E-02
   16    1   -0.14986849E-02  0.37457927E-02
    1    2    0.12660017E-01 -0.14589501E-03
    2    2    0.27777639E-01  0.69425063E-03
    3    2    0.13994294E-01  0.67327578E-03
    4    2    0.13962382E-01 -0.89736530E-03
    5    2    0.13187403E+00 -0.60492311E-03
    6    2    0.14054018E+00 -0.93880724E-03
    7    2    0.70809958E-01 -0.10935776E-02
    8    2    0.71597685E-01  0.14208568E-02
    9    2    0.52848358E-03 -0.20094289E-02
   10    2    0.39144719E-03 -0.55405078E-03
   11    2    0.13170139E-02  0.11001657E-02
   12    2   -0.20241950E-02  0.10106685E-02
   13    2    0.68548064E-03  0.12178234E-02
   14    2   -0.60214023E-03 -0.13995963E-03
   15    2   -0.25536848E-02 -0.48875428E-05
   16    2    0.14422416E-03 -0.15457549E-02
    1    3    0.80144249E-02 -0.44655939E-03
    2    3    0.78743305E-01 -0.39877186E-03
    3    3    0.11945517E-01 -0.14449678E-03
    4    3    0.94267416E-02  0.50679837E-03
    5    3   -0.42878245E-01  0.36107926E-03
    6    3   -0.13581840E+00  0.82245077E-03
    7    3   -0.71616587E-01  0.98697365E-04
    8    3   -0.18994304E-01  0.12954760E-02
    9    3   -0.85584444E-03  0.13308006E-02
   10    3    0.27019439E-03 -0.10801216E-02
   11    3    0.49468471E-03  0.26391404E-03
   12    3    0.59414604E-03 -0.99984142E-03
   13    3   -0.61290741E-03 -0.18855414E-02
   14    3    0.41714231E-03 -0.96867501E-03
   15    3    0.75883609E-03 -0.16920731E-02
   16    3    0.90008985E-03  0.16485925E-02
    1    4    0.10291717E-01 -0.24715822E-03
    2    4    0.76535446E-01 -0.27043784E-03
    3    4    0.81163182E-02  0.59935393E-03
    4    4    0.12758253E-01 -0.15478487E-04
    5    4   -0.44528539E-01  0.52531949E-03
    6    4   -0.13474452E+00  0.57879814E-03
    7    4   -0.19058441E-01 -0.24644958E-02
    8    4   -0.71337727E-01  0.13090288E-02
    9    4    0.10002439E-02  0.19472627E-02
   10    4   -0.13255808E-02 -0.11212067E-02
   11    4   -0.20870612E-02 -0.14805352E-02
   12    4    0.11893625E-02 -0.58305516E-03
   13    4   -0.24971872E-02 -0.68693608E-03
   14    4    0.32116859E-02  0.39101065E-03
   15    4    0.14259467E-02 -0.33057222E-04
   16    4    0.38294200E-03  0.10871963E-02
    1    5   -0.39970624E-01  0.44962120E-03
    2    5    0.14010281E-01 -0.19851804E-02
    3    5    0.14415077E+00  0.96921841E-03
    4    5    0.14417394E+00  0.37809908E-03
    5    5   -0.16231219E-01 -0.29699086E-03
    6    5   -0.53627239E-02  0.24165456E-02
    7    5    0.21484627E-01 -0.23849624E-02
    8    5    0.15986446E-01 -0.64844117E-03
    9    5   -0.27030442E-03 -0.37446970E-03
   10    5   -0.20913704E-02 -0.98760326E-03
   11    5   -0.24473457E-03 -0.13933709E-03
   12    5    0.60736506E-03  0.53370250E-03
   13    5    0.11603916E-02  0.21431783E-02
   14    5    0.20703799E-02  0.29655077E-02
   15    5    0.26241694E-02 -0.12185061E-02
   16    5   -0.24605968E-02 -0.11015029E-02
    1    6    0.14535124E-01 -0.93211974E-03
    2    6   -0.40205080E-01  0.36646809E-05
    3    6    0.14341176E+00  0.14601717E-02
    4    6    0.14349521E+00 -0.22960395E-02
    5    6   -0.13411364E-02 -0.32927927E-02
    6    6    0.63494066E-02  0.35124911E-03
    7    6   -0.55039797E-03  0.29477877E-02
    8    6    0.27774794E-02  0.69415341E-03
    9    6   -0.47765962E-03  0.11621859E-02
   10    6    0.64371073E-04 -0.44528767E-03
   11    6   -0.24049118E-03  0.55527316E-03
   12    6    0.13626836E-02 -0.15080551E-02
   13    6   -0.13904586E-03 -0.10667348E-02
   14    6   -0.47121203E-03 -0.42957237E-03
   15    6   -0.18181187E-02  0.21339542E-02
   16    6    0.47043348E-03 -0.95440083E-03
    1    7    0.34294461E-01  0.21669271E-03
    2    7    0.33786931E-01  0.13532304E-02
    3    7    0.16421924E+00 -0.21108704E-03
    4    7   -0.12807819E+00  0.76122448E-03
    5    7    0.17815410E-01  0.33456587E-02
    6    7   -0.65712431E-02 -0.21982544E-02
    7    7   -0.16408630E-01 -0.30789184E-03
    8    7    0.21266587E-01 -0.37223857E-03
    9    7   -0.58404117E-04  0.51692187E-04
   10    7    0.12110846E-02  0.38368035E-05
   11    7    0.59990299E-03 -0.10745244E-03
   12    7    0.61477402E-03  0.29863358E-03
   13    7   -0.11088893E-02  0.78105256E-03
   14    7   -0.12922576E-02 -0.19966000E-02
   15    7   -0.15692677E-02  0.49362300E-03
   16    7    0.17981636E-02  0.69154376E-03
    1    8    0.34569206E-01  0.10092290E-02
    2    8    0.35341493E-01  0.66151966E-03
    3    8   -0.12787847E+00 -0.41757966E-03
    4    8    0.16540573E+00  0.24414164E-03
    5    8    0.23166061E-01  0.87265473E-03
    6    8   -0.81321119E-02  0.28142185E-03
    7    8    0.17674488E-01 -0.13443109E-02
    8    8   -0.16031878E-01 -0.26047764E-03
    9    8    0.98630866E-03  0.66445456E-03
   10    8   -0.34080183E-03  0.57001236E-03
   11    8    0.20507323E-03 -0.33453750E-03
   12    8   -0.24708629E-03  0.10704812E-02
   13    8    0.20330854E-02  0.96993747E-03
   14    8    0.78930094E-03 -0.18980705E-02
   15    8   -0.16940207E-02  0.80157600E-05
   16    8   -0.12814340E-02 -0.14580701E-02
    1    9    0.12642419E-02  0.72757812E-03
    2    9   -0.43081426E-02 -0.59777422E-03
    3    9    0.36450272E-03  0.47191940E-02
    4    9    0.13774589E-02 -0.31801815E-02
    5    9   -0.44811590E-03  0.95693607E-03
    6    9   -0.12972805E-02  0.29149177E-03
    7    9   -0.29309712E-02 -0.79030613E-04
    8    9    0.30003940E-02  0.16381786E-02
    9    9    0.13498615E-01 -0.29832751E-03
   10    9    0.76785644E-01 -0.15998172E-02
   11    9    0.75896656E-02  0.14018019E-02
   12    9    0.10490064E-01  0.28597904E-03
   13    9   -0.35335552E-01  0.42016202E-03
   14    9   -0.26537346E+00  0.86729968E-03
   15    9    0.19940560E-01 -0.10253091E-02
   16    9    0.22822246E-01  0.35189756E-03
    1   10    0.30527336E-02 -0.22832236E-03
    2   10   -0.61501355E-04 -0.37984988E-03
    3   10   -0.30198341E-02  0.24205441E-03
    4   10    0.29805138E-03  0.14494775E-03
    5   10   -0.56206454E-03  0.12661795E-02
    6   10    0.11997897E-02  0.15632384E-03
    7   10    0.17760717E-02 -0.11489872E-02
    8   10   -0.89511285E-03 -0.11821211E-02
    9   10    0.14443181E-01  0.13840463E-03
   10   10    0.27950391E-01 -0.68107067E-03
   11   10    0.13105498E-01 -0.69127811E-03
   12   10    0.13127454E-01  0.93329868E-03
   13   10    0.13192596E+00  0.61267483E-03
   14   10    0.14083514E+00  0.90947939E-03
   15   10    0.71199145E-01  0.11152437E-02
   16   10    0.70427093E-01 -0.14118268E-02
    1   11   -0.76972791E-03 -0.17156858E-02
    2   11    0.95354407E-03  0.17130819E-02
    3   11    0.92717994E-03  0.18975466E-03
    4   11   -0.69306466E-03  0.29189799E-03
    5   11   -0.34562012E-03 -0.65363595E-03
    6   11    0.14341516E-02 -0.10512500E-02
    7   11   -0.51342953E-03 -0.19071443E-02
    8   11    0.34059424E-03  0.22965575E-02
    9   11    0.94641910E-02  0.46925220E-03
   10   11    0.77158175E-01  0.38306227E-03
   11   11    0.13442009E-01  0.11503117E-03
   12   11    0.80813950E-02 -0.49483968E-03
   13   11   -0.45039671E-01 -0.34177694E-03
   14   11   -0.13381495E+00 -0.80893636E-03
   15   11   -0.71193940E-01 -0.95898844E-04
   16   11   -0.18441708E-01 -0.13326935E-02
    1   12   -0.26121171E-02  0.33822653E-02
    2   12    0.25437740E-02 -0.27014149E-02
    3   12    0.19955536E-02 -0.28317600E-02
    4   12    0.25941031E-03  0.88645654E-03
    5   12    0.15565055E-02 -0.28671826E-02
    6   12   -0.13236957E-02  0.23592858E-02
    7   12   -0.21692820E-03  0.55198475E-03
    8   12   -0.16316232E-03  0.15364968E-02
    9   12    0.72286470E-02  0.23169371E-03
   10   12    0.79334858E-01  0.28378434E-03
   11   12    0.94008382E-02 -0.59620406E-03
   12   12    0.12656598E-01  0.93900736E-05
   13   12   -0.43319281E-01 -0.56267732E-03
   14   12   -0.13486429E+00 -0.56832553E-03
   15   12   -0.18377417E-01  0.24505550E-02
   16   12   -0.71523725E-01 -0.12735171E-02
    1   13   -0.22594309E-03 -0.61122535E-03
    2   13    0.32781983E-02 -0.37907303E-03
    3   13   -0.65312226E-03 -0.63165869E-03
    4   13   -0.15283983E-02  0.11550165E-03
    5   13   -0.20822130E-02  0.16900154E-02
    6   13   -0.64625802E-02  0.75673445E-03
    7   13    0.10745909E-02  0.60760799E-02
    8   13    0.61461581E-02 -0.47063896E-02
    9   13   -0.40206818E-01 -0.47876838E-03
   10   13    0.14618999E-01  0.19820923E-02
   11   13    0.14370926E+00 -0.91058109E-03
   12   13    0.14370369E+00 -0.39795575E-03
   13   13   -0.16684174E-01  0.29721006E-03
   14   13   -0.75692480E-02 -0.23861073E-02
   15   13    0.17863445E-01  0.23679266E-02
   16   13    0.23294917E-01  0.65384265E-03
    1   14   -0.43657496E-03  0.69023470E-03
    2   14    0.62857881E-03 -0.11742147E-03
    3   14    0.21650817E-02  0.14480902E-02
    4   14    0.57885265E-03 -0.46920569E-03
    5   14    0.57866025E-02  0.17515293E-02
    6   14   -0.41344574E-04 -0.66618892E-03
    7   14   -0.22922418E-02 -0.32694225E-02
    8   14   -0.45820715E-02  0.33687571E-03
    9   14    0.14063921E-01  0.94340013E-03
   10   14   -0.39877688E-01  0.13057381E-04
   11   14    0.14446691E+00 -0.14697909E-02
   12   14    0.14437148E+00  0.22965332E-02
   13   14    0.14768036E-02  0.32996764E-02
   14   14    0.61099433E-02 -0.34466908E-03
   15   14    0.74066969E-03 -0.29083704E-02
   16   14   -0.26243822E-02 -0.71271880E-03
    1   15   -0.61604738E-03 -0.53900607E-03
    2   15   -0.23775839E-02 -0.21408373E-02
    3   15   -0.10319568E-02 -0.15059571E-02
    4   15   -0.27153648E-03  0.26496367E-03
    5   15   -0.22509239E-02 -0.62412765E-02
    6   15    0.48218556E-02  0.13360916E-02
    7   15    0.66466222E-03 -0.29876590E-03
    8   15   -0.10566623E-02  0.46543200E-02
    9   15    0.34214022E-01 -0.18917476E-03
   10   15    0.34799630E-01 -0.13489951E-02
   11   15    0.16521889E+00  0.18508212E-03
   12   15   -0.12771879E+00 -0.74779454E-03
   13   15    0.21483532E-01 -0.33512104E-02
   14   15   -0.63437092E-02  0.21912524E-02
   15   15   -0.16484498E-01  0.29516758E-03
   16   15    0.18062409E-01  0.35778298E-03
    1   16   -0.16503561E-02  0.57409613E-03
    2   16   -0.82685821E-03  0.15845521E-02
    3   16    0.14852284E-03  0.15143990E-04
    4   16   -0.18650139E-03  0.20711446E-02
    5   16   -0.53840383E-02  0.46300878E-02
    6   16    0.27326543E-02 -0.16644872E-02
    7   16    0.24372494E-02 -0.31993061E-02
    8   16    0.40699139E-03 -0.15647491E-02
    9   16    0.33967480E-01 -0.10260446E-02
   10   16    0.33198488E-01 -0.68920494E-03
   11   16   -0.12792278E+00  0.41081827E-03
   12   16    0.16400921E+00 -0.21016526E-03
   13   16    0.16135128E-01 -0.86211439E-03
   14   16   -0.47929222E-02 -0.27384143E-03
   15   16    0.21635056E-01  0.13764677E-02
   16   16   -0.16854844E-01  0.24853164E-03

   -2    1    0
    1    1    0.11969015E-01  0.44340467E-03
    2    1    0.70691498E-02  0.25635355E-03
    3    1    0.78979131E-01  0.28729442E-03
    4    1    0.99526349E-02 -0.78074381E-03
    5    1   -0.35414456E-01 -0.27952384E-03
    6    1    0.19151510E-01 -0.10645679E-02
    7    1   -0.26410328E+00  0.36224942E-03
    8    1    0.22091519E-01  0.27227285E-03
